55,2,2,2,"6C","Flo","BK","Aula~Z2",,0,2.60000,,,,"20250904","20260708",0.01040,,,,,,,"Bn",,,,1,1,,,,,0,0,,,,,200000,2.00000,"BK_6C_Flo",,,,0,
56,1,1,1,"6C","Flo","Kl-R","13",,0,1.00000,,,,"20250904","20260708",0.00400,,,"13",,,,"Bn",,,,,,,,,,0,0,,,,,100000,1.00000,"Kl-R_6C_Flo",,,,0,
56,1,0,1,"6C","Deg","Kl-R","13",,0,1.00000,,,,"20250904","20260708",0.00400,,,"13",,,,"Bn",,,,,,,,,,0,0,,,,,100000,1.00000,"Kl-R_6C_Flo",,,,0,
57,4,4,4,"7A","Hoe","Ma","63",,0,6.00000,,,,"20250904","20260708",0.02400,,,"63",,,,"Bn",,,,2,2,,,,,0,0,,,,,400000,4.00000,"Ma_7A_Hoe",,,,0,
58,4,4,4,"7A","Göl","E","41",,0,6.00000,,,,"20250904","20260708",0.02400,,,"41",,,,"Bn",,,,2,2,,,,,0,0,,,,,400000,4.00000,"E_7A_Göl",,,,0,
59,2,2,2,"7D","Ran","Phy","Phy2",,0,2.90000,,,,"20250904","20260708",0.01160,,,"Phy2",,,,"Bn",,,,1,1,,,,,0,0,,,,,200000,2.00000,"Phy_7D_Ran",,,,0,
60,2,2,2,"7D","Adva","Mus","Mus2",,0,2.80000,,,,"20250904","20260708",0.01120,,,"Mus2",,,,"Bn",,,,1,1,,,,,0,0,,,,,200000,2.00000,"Mus_7D_Adva",,,,0,
61,4,4,4,"7D","Stub","Ma","45",,0,6.00000,,,,"20250904","20260708",0.02400,,,"45",,,,"Bn",,,,2,2,,,,,0,0,,,,,400000,4.00000,"Ma_7D_Stub",,,,0,
62,2,2,2,"7D","Eul","Geo","24",,0,2.80000,,,,"20250904","20260708",0.01120,,,"24",,,,"Bn",,,,1,1,,,,,0,0,,,,,200000,2.00000,"Geo_7D_Mel",,,,0,
63,4,4,4,"7D","Eul","E","51",,0,6.00000,,,,"20250904","20260708",0.02400,,,"51",,,,"Bn",,,,2,2,,,,,0,0,,,,,400000,4.00000,"E_7D_Eul",,,,0,
64,4,4,4,"7D","Stu","D","43",,0,6.80000,,,,"20250904","20260708",0.02720,,,"43",,,,"Bn",,,,2,2,,,,,0,0,,,,,400000,4.00000,"D_7D_Stu",,,,0,
65,3,3,3,"7D","Bar","Bio","Bio1",,0,4.35000,,,,"20250904","20260708",0.01720,,,"Bio1",,,,"Bn",,,,1,2,,,,,0,0,,,,,300000,3.00000,"Bio_7D_Spe",,,,0,
66,2,2,2,"7D","Flo","BK","Z2",,0,2.80000,,,,"20250904","20260708",0.01120,,,"Z2",,,,"Bn",,,,1,1,,,,,0,0,,,,,200000,2.00000,"BK_7D_Flo",,,,0,
67,4,4,4,"7D","Stu","Spo","NH2",,0,5.00000,,,,"20250904","20260708",0.02000,,,"NH2",,,,"Bn",,,,2,2,,,,,0,0,,,,,400000,4.00000,"Spo_7D_Stu",,,,0,
68,2,2,2,"7D","Bal","Ge","56",,0,2.80000,,,,"20250904","20260708",0.01120,,,"56",,,,"Bn",,,,1,1,,,,,0,0,,,,,200000,2.00000,"Ge_7D_Bal",,,,0,
